Experiment: 1,    Subject: 1 
AngleDiff   Noise  RefAngle   SubjDecision  SubjEstimate  Feedback   TrialOrder 
   -18        3      60.00         -1         78.25964         -1        341 
   -18        3      63.33         -1         85.29309         -1       1250 
   -18        3      66.67         -1         89.77619         -1        468 
   -18        3      70.00         -1         89.77619         -1        235 
   -18        3      73.33         -1         90.67490         -1        102 
   -18        3      76.67         -1         98.69623         -1        127 
   -18        3      80.00         -1         96.48888         -1        480 
   -18        3      83.33         -1        105.14158         -1       1284 
   -18        3      86.67         -1        105.97564         -1        409 
   -18        3      90.00         -1        111.12971         -1        243 
   -18        3      93.33         -1        111.52585         -1       1406 
   -18        3      96.67         -1        122.79978         -1        496 
   -18        3     100.00         -1        117.23272         -1         84 
   -18        3     103.33         -1        134.70159         -1         30 
   -18        3     106.67         -1        130.76369         -1       1153 
   -18        3     110.00         -1        129.55978         -1       1203 
   -18        3     113.33         -1        130.76369         -1        899 
   -18        3     116.67         -1        133.49260         -1       1409 
   -18        3     120.00         -1        139.19211         -1        169 
   -18        3     123.33         -1        143.60630         -1       1572 
   -18        3     126.67         -1        139.19211         -1        171 
   -18        3     130.00         -1        154.31898         -1        937 
   -18        3     133.33         -1        147.65825         -1       1082 
   -18        3     136.67         -1        154.31898         -1       1276 
   -18        3     140.00         -1        154.90334         -1        238 
   -18        3     143.33         -1        160.33109         -1        369 
   -18        3     146.67         -1        156.63045         -1        850 
   -18        3     150.00         -1        166.54614         -1        728 
   -18        3     153.33         -1        169.55612         -1       1239 
   -18        3     156.67         -1        172.62549         -1       1271 
   -18        3     160.00         -1        173.95513         -1       1373 
   -18        3     163.33         -1        174.84530         -1       1501 
   -18        3     166.67         -1          0.67315         -1        365 
   -18        3     170.00         -1          1.57153         -1        381 
   -18        3     173.33         -1          7.37280         -1        376 
   -18        3     176.67         -1         10.44219         -1       1029 
   -18        3     180.00         -1         11.30892         -1        634 
   -18       18       0.00         -1         17.34008         -1       1162 
   -18       18       3.33         -1         17.46987         -1       1115 
   -18       18       6.67         -1         21.59842         -1       1071 
   -18       18      10.00         -1         22.40256         -1        329 
   -18       18      13.33         -1         22.40256         -1        147 
   -18       18      16.67         -1         31.62032         -1        886 
   -18       18      20.00         -1         35.68887         -1        537 
   -18       18      23.33         -1         44.41351         -1        410 
